ID;Severidad_accidente;Numero_vehiculos;Numero_victimas;Dia_semana;Tipo_via;Limite_velocidad;Iluminacion;Clima;Condicion_via;Condiciones especiales;Tipo_area
201001TB00484;Fatal;1;2;3;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201154A411511;Fatal;1;1;5;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201020T007300;Fatal;2;1;6;Autovia;30;Luz_dia;Lluvioso;Humeda;No;Urbano
200843N106048;Fatal;1;1;4;Calzada;40;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201037G029229;Fatal;1;1;5;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201350BU2A002;Fatal;2;2;6;Calzada;60;Luz_dia;Lluvioso;Humeda;No;Rural
200614G081406;Fatal;1;3;2;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200806P087450;Fatal;1;1;6;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
201101TD00058;Fatal;1;1;3;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200737L014108;Fatal;2;1;2;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200943W038089;Fatal;1;1;7;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200806P094568;Fatal;4;1;2;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200842I339309;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
200897LB70609;Fatal;3;2;2;Calzada;60;Luz_dia;Lluvioso;Humeda;No;Rural
200801PL73486;Fatal;2;2;4;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201497GE70510;Fatal;2;1;5;Calzada;30;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
200505CH00177;Fatal;2;1;6;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
200543N061035;Fatal;2;1;4;Calzada;40;Luz_dia;Bueno;Seca;No;Urbano
200901BS77057;Fatal;2;1;5;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201211SC18332;Fatal;1;2;1;Calzada;60;Luz_dia;Bueno;Humeda;No;Rural
201045EL55822;Fatal;2;2;1;Autovia;70;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200697AC70212;Fatal;1;1;1;Autovia;60;Oscuridad con luces encendidas;Ventoso;Humeda;No;Urbano
200530B000644;Fatal;3;1;6;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
20053102A1374;Fatal;2;1;6;Calzada;60;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
201143W176051;Fatal;1;1;2;Calzada;50;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200501TC00320;Fatal;1;1;6;Calzada;30;Luz_dia;Bueno;Seca;No;Urbano
201320J005913;Fatal;1;1;6;Autovia;40;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
201034TK80010;Fatal;1;1;4;Rotonda;30;Luz_dia;Bueno;Humeda;No;Urbano
200920Z009201;Fatal;1;2;7;Autovia;70;Luz_dia;Bueno;Seca;No;Rural
200550D21N119;Fatal;1;1;1;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
201120K007961;Fatal;1;1;3;Autovia;40;Luz_dia;Bueno;Seca;No;Urbano
200945SU45706;Fatal;1;2;3;Calzada;40;Luz_dia;Bueno;Humeda;No;Urbano
200820M061403;Fatal;1;1;7;Autovia;50;Luz_dia;Bueno;Seca;No;Urbano
200743P261107;Fatal;1;1;7;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201322D301567;Fatal;2;1;7;Calzada;30;Oscuridad con luces encendidas;Bueno;Humeda;No;Urbano
201423M066794;Fatal;1;2;1;Autovia;70;Luz_dia;Bueno;Seca;No;Rural
200834WD80198;Fatal;2;1;4;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200543N223035;Fatal;2;2;3;Calzada;60;Luz_dia;Lluvioso;Humeda;No;Rural
20083108B0079;Fatal;4;13;1;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201401TD00003;Fatal;1;1;5;Calzada;30;Luz_dia;Lluvioso;Humeda;No;Urbano
201120M017411;Fatal;1;2;7;Autovia;40;Luz_dia;Bueno;Humeda;No;Rural
200642B014705;Fatal;2;2;5;Autovia;70;Luz_dia;Bueno;Seca;No;Urbano
20114100G0599;Fatal;1;1;6;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200522FD44413;Fatal;1;2;1;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200845EL30757;Fatal;1;2;3;Autovia;40;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
2007170S13027;Fatal;2;1;2;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
